SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",11,Done,26.01,-5.17886,"gpcr_grid",-6.41906,-3.03113,-0.304,-0,-0.983368,-45.1865,-5.28866,0.952063,0,-64.7144,-50.4752,16.6083
COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",11,Done,26.01,-5.25674,"gpcr_grid",-6.49694,-3.24143,-0.324455,-0,-0.864427,-38.3475,-7.34207,0.952063,0,-61.2343,-45.6895,14.5443
COc1ccccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",11,Done,26.02,-4.96095,"gpcr_grid",-6.20115,-3.06933,-0.34069,-0,-0.799162,-40.0005,-6.29337,0.952063,0,-59.496,-46.2939,17.1522
COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",12,Done,27.48,-7.81904,"gpcr_grid",-7.89704,-3.1671,-0.428303,-0,-0.940166,-44.828,-13.3849,0.947822,-0.0601646,-92.88,-58.2128,7.07841
COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",12,Done,27.49,-7.57429,"gpcr_grid",-7.65229,-3.25494,-0.36,-0,-0.903351,-43.9769,-11.9916,0.947822,-0.0842382,-88.661,-55.9685,8.65955
COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",12,Done,27.49,-7.36394,"gpcr_grid",-7.44194,-2.88389,-0.27598,-0,-0.989137,-41.8023,-13.8295,0.947822,-0.0762172,-88.3886,-55.6318,6.49569
COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",12,Done,27.49,-7.56677,"gpcr_grid",-7.64477,-3.19181,-0.36,-0,-0.981606,-43.9326,-11.7503,0.947822,-0.1,-88.2751,-55.6829,8.78751
COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",12,Done,27.5,-7.30333,"gpcr_grid",-7.38133,-3.16467,-0.36,-0,-1.01489,-43.2342,-10.4963,0.947822,-0.0534359,-87.1345,-53.7305,4.61461
COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",12,Done,27.5,-7.26883,"gpcr_grid",-7.34683,-2.94911,-0.36,-0,-0.916408,-44.0448,-11.9772,0.947822,-0.0703084,-85.3341,-56.022,12.4647
COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",12,Done,27.5,-7.96123,"gpcr_grid",-8.03923,-3.06515,-0.417824,-0,-1.0991,-31.2309,-18.32,0.947822,-0.0954385,-84.6595,-49.5508,7.57143
COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",12,Done,27.51,-7.14871,"gpcr_grid",-7.22671,-2.99097,-0.36,-0,-0.955803,-40.6224,-11.6449,0.947822,-0.0899025,-84.6352,-52.2673,5.19073
COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",12,Done,27.51,-6.77935,"gpcr_grid",-6.85735,-3.09437,-0.16,-0,-0.84747,-44.391,-9.56382,0.947822,-0.0492092,-84.5703,-53.9548,5.12163
COc1ccccc1OCC[NH2+]C[C@@H](O)COc1cccc2[nH]c3ccccc3c12,"5",12,Done,27.51,-6.69311,"gpcr_grid",-6.77111,-2.47868,-0.350611,-0,-1.05954,-41.6097,-11.1255,0.947822,-0.0807919,-82.6434,-52.7352,5.70174
