SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CC(C)(C)[NH2+]C[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,"1",4,Done,38.52,-9.84949,"gpcr_grid",-9.84949,-1.84442,-1.00744,-0,-2.84377,-30.3772,-21.3163,0.643368,-0.0809252,-91.9822,-51.6935,8.29379
CC(C)(C)[NH2+]C[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,"1",4,Done,38.52,-9.74571,"gpcr_grid",-9.74571,-1.82304,-0.958731,-0,-2.88831,-29.5654,-20.8967,0.643368,-0.106221,-91.9656,-50.4622,4.92809
CC(C)(C)[NH2+]C[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,"1",4,Done,38.52,-9.48446,"gpcr_grid",-9.48446,-1.73133,-1.23643,-0,-2.75807,-32.3776,-17.9696,0.643368,-0.0876909,-91.1191,-50.3471,4.03378
CC(C)(C)[NH2+]C[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,"1",4,Done,38.53,-9.54901,"gpcr_grid",-9.54901,-1.97833,-0.923041,-0,-2.69991,-30.3515,-19.6914,0.643368,-0.1198,-87.2663,-50.0429,11.7131
CC(C)(C)[NH2+]C[C@H](O)COc1cccc2[nH]c(=O)[nH]c12,"1",4,Done,38.53,-7.86833,"gpcr_grid",-7.86833,-1.34478,-0.630353,-0,-2.30267,-32.3982,-18.6348,0.919097,-0.0944923,-80.5697,-51.033,11.922
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",5,Done,29.95,-4.28681,"gpcr_grid",-7.16881,-3.13796,-0.476423,-0,-0.323018,-42.3445,-11.2865,0.702849,-0.124058,-73.8748,-53.631,8.27958
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",5,Done,29.96,-4.03604,"gpcr_grid",-6.91804,-3.29591,-0.32,-0,-0.477525,-46.4414,-7.93691,0.702849,-0.0148432,-71.6808,-54.3783,12.4152
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",5,Done,29.96,-4.1199,"gpcr_grid",-7.0019,-3.38644,-0.212044,-0,-0.36832,-44.2879,-9.40352,0.702849,-0.113018,-67.9918,-53.6914,19.0092
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",5,Done,29.96,-3.28039,"gpcr_grid",-6.16239,-3.1634,0,-0,-0.331112,-49.0744,-6.04662,0.702849,-0.0100159,-67.2802,-55.121,17.6123
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",5,Done,29.97,-3.94613,"gpcr_grid",-6.82813,-2.92906,-0.576075,-0,-0.263026,-42.8046,-10.5251,0.702849,-0.043809,-67.1191,-53.3298,18.8608
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",5,Done,29.97,-2.98643,"gpcr_grid",-5.86843,-2.89994,-0.0189953,-0,-0.308964,-49.4483,-5.80647,0.702849,0,-66.6446,-55.2548,17.1463
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",5,Done,29.98,-4.2852,"gpcr_grid",-7.1672,-3.3452,-0.376907,-0,-0.368238,-43.7314,-10.071,0.702849,-0.0824842,-66.5084,-53.8024,23.3556
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",5,Done,29.98,-3.85876,"gpcr_grid",-6.74076,-3.12115,-0.50677,-0,-0.454958,-39.6377,-9.05968,0.702849,-0.0198991,-63.5821,-48.6973,16.0964
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",5,Done,29.98,-2.70348,"gpcr_grid",-5.58548,-2.70383,-0.0253839,-0,-0.493537,-40.0929,-7.0729,0.702849,0,-57.0499,-47.1658,18.2371
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",5,Done,29.99,-2.79723,"gpcr_grid",-5.67923,-2.7095,-0.360998,-0,-0.394151,-38.8772,-6.49041,0.702849,0,-56.8357,-45.3677,15.6923
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",6,Done,22.68,-8.08927,"gpcr_grid",-8.09387,-3.55389,-0.460515,-0,-0.326023,-42.8832,-15.0634,0.700162,-0.0499359,-89.8611,-57.9466,5.31016
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",6,Done,22.69,-6.03958,"gpcr_grid",-6.04418,-2.47742,-0.16,-0,-0.382764,-41.1152,-10.8966,0.700162,-0.0338967,-76.181,-52.0119,3.29026
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",6,Done,22.69,-6.93956,"gpcr_grid",-6.94416,-2.84565,-0.304525,-0,-0.496339,-40.2822,-12.6676,0.700162,-0.0835438,-75.2871,-52.9499,14.6308
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",6,Done,22.7,-6.34997,"gpcr_grid",-6.35457,-2.67867,-0.0189637,-0,-0.439113,-40.5645,-12.2505,0.700162,-0.0521756,-72.7812,-52.8151,14.302
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",6,Done,22.7,-6.38912,"gpcr_grid",-6.39372,-2.58006,-0.299422,-0,-0.365683,-41.1355,-11.5004,0.700162,-0.0668822,-72.3616,-52.6359,15.1648
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",6,Done,22.7,-6.09517,"gpcr_grid",-6.09977,-3.07247,0,-0,-0.46647,-43.9492,-7.05365,0.700162,-0.00548217,-69.8468,-51.0028,14.4174
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",6,Done,22.71,-6.02802,"gpcr_grid",-6.03262,-2.64045,-0.377507,-0,-0.302686,-42.2488,-8.4505,0.700162,-0.0321186,-68.8945,-50.6993,15.1005
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",6,Done,22.71,-5.99537,"gpcr_grid",-5.99997,-2.63156,-0.32,-0,-0.337935,-42.5377,-8.38222,0.700162,-0.0264162,-68.6544,-50.9199,15.7462
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",6,Done,22.72,-6.55752,"gpcr_grid",-6.56212,-2.98425,-0.304,-0,-0.43166,-39.0124,-10.1594,0.700162,-0.0678348,-68.0056,-49.1719,18.3544
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)([NH2+]C[C@@H](O)COc2cccc3[nH]ccc23)CC1,"2",6,Done,22.72,-5.94926,"gpcr_grid",-5.95386,-2.89028,-0.0414832,-0,-0.36609,-40.0662,-8.62633,0.700162,-0.0589082,-67.2095,-48.6925,13.8137
CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,"3",7,Done,78.37,-4.38457,"gpcr_grid",-7.37717,-2.55176,-0.938206,-0,-1.82433,-25.0456,-12.7185,1.13301,-0.0358351,-52.71,-37.7641,7.12009
CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,"3",7,Done,78.37,-3.26277,"gpcr_grid",-6.25537,-2.31758,-0.290255,-0,-1.77433,-29.2745,-10.1679,1.13301,-0.0173013,-49.7363,-39.4425,10.796
CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,"3",7,Done,78.38,-3.72392,"gpcr_grid",-6.71652,-2.55467,-0.48,-0,-1.78266,-29.4871,-10.2668,1.13301,-0.0178361,-48.5157,-39.7538,16.1736
CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,"3",7,Done,78.38,-3.07166,"gpcr_grid",-6.06426,-2.16567,-0.346339,-0,-1.82433,-27.4997,-9.6672,1.13301,-0.0358714,-47.8353,-37.1669,9.08808
CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,"3",7,Done,78.38,-3.38791,"gpcr_grid",-6.38051,-2.38789,-0.419341,-0,-1.84099,-27.1574,-9.81033,1.13301,-0.0358802,-47.6749,-36.9678,10.5974
CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,"3",7,Done,78.38,-3.30443,"gpcr_grid",-6.29703,-2.29527,-0.408336,-0,-1.82433,-25.5054,-10.6641,1.13301,-0.0272132,-47.0948,-36.1695,9.74209
CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,"3",7,Done,78.38,-3.11748,"gpcr_grid",-6.11008,-2.14955,-0.42739,-0,-1.82433,-25.9395,-10.0969,1.13301,-0.0303094,-46.7793,-36.0364,9.16886
CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,"3",7,Done,78.39,-3.32998,"gpcr_grid",-6.32258,-2.20405,-0.485104,-0,-1.89933,-27.4752,-9.95559,1.13301,0,-46.7654,-37.4308,13.0518
CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,"3",7,Done,78.39,-2.79231,"gpcr_grid",-5.78491,-2.11294,-0.456,-0,-1.91599,-30.8517,-5.93601,1.13301,0,-44.966,-36.7877,12.6669
CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12,"3",7,Done,78.39,-2.89977,"gpcr_grid",-5.89237,-2.46646,-0.0945477,-0,-1.92433,-25.19,-8.53694,1.13301,0,-44.5385,-33.727,7.9396
CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,"3",8,Done,40.92,-8.80903,"gpcr_grid",-8.81283,-2.29922,-0.91449,-0,-1.97837,-24.6278,-22.5263,1.12517,-0.135586,-77.7216,-47.1541,6.56594
CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,"3",8,Done,40.92,-8.7296,"gpcr_grid",-8.7334,-2.6883,-0.924599,-0,-1.97578,-25.8008,-19.0658,1.12517,-0.119982,-75.3219,-44.8666,6.18005
CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,"3",8,Done,40.92,-8.26557,"gpcr_grid",-8.26937,-2.42439,-0.900148,-0,-1.94246,-23.6238,-18.7798,1.12517,-0.129376,-72.573,-42.4037,3.18718
CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,"3",8,Done,40.92,-7.82925,"gpcr_grid",-7.83305,-2.17226,-0.484064,-0,-1.91875,-28.1262,-19.0993,1.12517,-0.111949,-70.8391,-47.2255,12.9468
CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,"3",8,Done,40.93,-7.33592,"gpcr_grid",-7.33972,-2.13758,-0.504422,-0,-1.96346,-28.1328,-15.5333,1.12517,-0.122794,-69.8439,-43.6661,4.02875
CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,"3",8,Done,40.93,-7.44394,"gpcr_grid",-7.44774,-2.10411,-0.507736,-0,-1.96634,-26.2923,-16.9465,1.12517,-0.138143,-69.2698,-43.2387,5.15209
CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,"3",8,Done,40.93,-7.70456,"gpcr_grid",-7.70836,-2.05546,-0.601944,-0,-2.05912,-27.3554,-17.6748,1.12517,-0.0980121,-69.2172,-45.0302,10.8422
CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,"3",8,Done,40.93,-7.29227,"gpcr_grid",-7.29607,-2.09347,-0.52,-0,-1.94061,-26.7139,-15.9759,1.12517,-0.135079,-65.9784,-42.6898,9.47183
CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,"3",8,Done,40.94,-7.4333,"gpcr_grid",-7.4371,-2.35105,-0.498529,-0,-1.93238,-28.1487,-15.1151,1.12517,-0.105614,-65.6319,-43.2638,12.3961
CC(C)[NH2+]C[C@@H](O)COc1cccc2[nH]ccc12,"3",8,Done,40.94,-7.26062,"gpcr_grid",-7.26442,-2.16329,-0.555884,-0,-2.00096,-27.6833,-14.6938,1.12517,-0.0812203,-65.2692,-42.3771,10.0215
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",9,Done,21.14,-4.49157,"gpcr_grid",-7.37357,-3.0872,-0.434831,-0,-0.681806,-52.549,-8.41882,0.720536,0,-83.9785,-60.9678,11.2594
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",9,Done,21.15,-4.48462,"gpcr_grid",-7.36662,-3.19655,-0.446912,-0,-0.66509,-52.4551,-7.70569,0.720536,0,-83.3126,-60.1608,10.9232
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",9,Done,21.15,-4.59236,"gpcr_grid",-7.47436,-3.42358,-0.429393,-0,-0.561388,-51.5085,-8.03411,0.720536,0,-82.5541,-59.5426,12.0408
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",9,Done,21.15,-4.39805,"gpcr_grid",-7.28005,-3.34516,-0.44387,-0,-0.549655,-51.497,-7.247,0.720536,0,-80.6788,-58.744,12.6849
CC(C)(NC(=O)CBr)[C@H]1CC[C@](C)(NC[C@@H](O)COc2cccc3[nH]c(C#N)cc23)CC1,"4",9,Done,21.16,-4.29459,"gpcr_grid",-7.17659,-3.16398,-0.0644852,-0,-0.783622,-46.5833,-10.3725,0.720536,0,-79.0002,-56.9558,11.6616
